Subject	Scaling factor	Quantile value	Number of identified features	Library size
ESC.1.45.OPR.279442	70.9999999999995	1	140	1741
ESC.1.46.NPL.279695	44.9999999999995	1	80	1574
ESC.1.46.NPR.279531	36.9999999999995	1	78	1148
ESC.1.46.OPL.279623	72.9999999999995	3	94	2082
ESC.1.46.OPR.279457	42.9999999999995	2	87	2090
ESC.1.47.NPL.279422	72.9999999999995	1	128	1920
ESC.1.47.NPR.279485	63.9999999999995	1	110	2202
ESC.1.47.OPL.279646	96.9999999999995	3	124	2548
ESC.1.47.OPR.279560	54.9999999999995	2	97	2186
ESC.1.48.NPL.279700	49.9999999999995	1	99	1669
ESC.1.48.NPR.279488	56.9999999999995	1	105	1693
ESC.1.48.OPL.279572	80.9999999999995	2	101	1662
ESC.1.48.OPR.279680	68.9999999999995	2	113	2270
ESC.1.49.NPL.279459	43.9999999999995	1	92	1396
ESC.1.49.NPR.279663	47.9999999999995	1	87	1602
ESC.1.49.OPL.279522	64.9999999999995	1	143	1967
ESC.1.49.OPR.279650	72.9999999999995	2	124	2306
ESC.1.5.NPL.279512	75.9999999999995	1	135	1207
ESC.1.5.NPR.279434	47.9999999999995	1	109	1273
ESC.1.5.OPL.279518	34.9999999999995	2	63	1643
ESC.1.5.OPR.279659	72.9999999999995	3	100	3635
ESC.1.50.NPL.279504	57.9999999999995	1	106	1997
ESC.1.50.NPR.279432	65.9999999999995	1	108	1473
ESC.1.50.OPL.279499	92.9999999999995	3	111	2078
ESC.1.50.OPR.279637	91.9999999999995	3	97	2896
ESC.1.51.NPL.279416	75.9999999999995	1	137	2449
ESC.1.51.NPR.279541	68.9999999999995	1	122	1748
ESC.1.51.OPL.279500	86.9999999999995	5	96	3194
ESC.1.51.OPR.279561	81.9999999999995	4	103	3820
ESC.1.52.NPL.279698	106	1	228	2141
ESC.1.52.NPR.279453	56.9999999999995	1	90	1490
ESC.1.52.OPL.279433	37.9999999999995	2	64	2396
ESC.1.52.OPR.279589	53.9999999999995	2	84	2119
ESC.1.53.NPL.279607	110	1	221	2136
ESC.1.53.NPR.279571	102	1	218	1761
ESC.1.53.OPL.279544	99.9999999999995	2	150	1883
ESC.1.53.OPR.279665	82.9999999999995	2	122	2969
ESC.1.54.NPL.279482	112	1	258	3769
ESC.1.54.NPR.279565	59.9999999999995	1	136	1569
ESC.1.54.OPL.279614	57.9999999999995	3	80	2380
ESC.1.55.NPL.279662	80.9999999999995	1	157	1763
ESC.1.55.NPR.279643	80.9999999999995	1	170	1461
ESC.1.55.OPL.279670	91.9999999999995	3	116	2389
ESC.1.55.OPR.279483	82.9999999999995	2	137	2006
ESC.1.55a.NPL.279515	51.9999999999995	1	86	509
ESC.1.55a.NPR.279636	118	1	249	3373
ESC.1.55a.OPL.279678	66.9999999999995	4	70	1284
ESC.1.55a.OPR.279536	47.9999999999995	2	77	522
ESC.1.56.NPL.279537	101	2	125	1518
ESC.1.56.NPR.279443	53.9999999999995	1	112	1015
ESC.1.56.OPL.279540	58.9999999999995	2	93	2160
ESC.1.56.OPR.279444	56.9999999999995	2.71578947368421	109	2169
ESC.1.57.NPL.279466	107	1	221	1661
ESC.1.57.NPR.279489	83.9999999999995	1	164	1736
ESC.1.57.OPL.279441	44.9999999999995	2	77	1992
ESC.1.57.OPR.279529	47.9999999999995	3	74	2242
ESC.1.58.NPL.279683	101	1	200	2232
ESC.1.58.NPR.279559	63.9999999999995	1	132	2104
ESC.1.58.OPL.279556	55.9999999999995	3	89	2152
ESC.1.58.OPR.279427	83.9999999999995	4	77	2279
ESC.1.59.NPL.279610	56.9999999999995	1	103	1858
ESC.1.59.NPR.279657	103	1	194	1705
ESC.1.59.OPL.279417	45.9999999999995	2	79	1877
ESC.1.59.OPR.279629	55.9999999999995	2	101	2724
ESC.1.6.NPL.279579	31.9999999999995	1	58	736
ESC.1.6.NPR.279431	34.9999999999995	1	73	1437
ESC.1.6.OPL.279475	39.9999999999995	4	47	1273
ESC.1.6.OPR.279580	40.9999999999995	2	64	1288
ESC.1.60.NPL.279640	76.9999999999995	1	153	2383
ESC.1.60.NPR.279550	67.9999999999995	1	148	2108
ESC.1.60.OPL.279582	61.9999999999995	2	96	2308
ESC.1.60.OPR.279487	67.9999999999995	2	136	2137
ESC.1.61.NPL.279673	71.9999999999995	1	116	1584
ESC.1.61.NPR.279549	54.9999999999995	1	95	1131
ESC.1.61.OPL.279525	87.9999999999995	3	112	2040
ESC.1.61.OPR.279506	112	3	141	2496
ESC.1.62.NPL.279612	77.9999999999995	1	186	3599
ESC.1.62.NPR.279534	73.9999999999995	1	151	2220
ESC.1.62.OPL.279669	97.9999999999995	2	151	2185
ESC.1.62.OPR.279652	75.9999999999995	3	109	2532
ESC.1.63.NPL.279530	74.9999999999995	1	156	2127
ESC.1.63.NPR.279435	50.9999999999995	1	107	2135
ESC.1.63.OPL.279420	52.9999999999995	1.58245614035088	128	2281
ESC.1.63.OPR.279596	20.9999999999995	3	29	1579
ESC.1.64.NPL.279653	127	1	262	4262
ESC.1.64.NPR.279697	88.9999999999995	1	158	1409
ESC.1.64.OPL.279491	54.9999999999995	2	96	2740
ESC.1.64.OPR.279439	63.9999999999995	2	98	2350
ESC.1.65.NPL.279490	55.9999999999995	1	101	1652
ESC.1.65.NPR.279480	103	1	214	4121
ESC.1.65.OPL.279620	105	2	138	1250
ESC.1.65.OPR.279502	72.9999999999995	2	120	1717
ESC.1.66.NPL.279424	45.9999999999995	1	86	439
ESC.1.66.NPR.279520	43.9999999999995	1	68	398
ESC.1.66.OPL.279627	18.9999999999995	1.21754385964912	45	478
ESC.1.66.OPR.279675	22.9999999999995	1	47	594
ESC.1.67.NPL.279575	25.9999999999995	1	53	918
ESC.1.67.NPR.279577	43.9999999999995	1	80	679
ESC.1.67.OPL.279621	44.9999999999995	3	70	2101
ESC.1.67.OPR.279595	46.9999999999995	4	55	1928
ESC.1.68.NPL.279602	37.9999999999995	1	86	1499
ESC.1.68.NPR.279639	62.9999999999995	1	111	1082
ESC.1.68.OPL.279566	41.9999999999995	3	61	1410
ESC.1.68.OPR.279573	82.9999999999995	2	132	2221
ESC.1.69.NPL.279492	62.9999999999995	1	109	1270
