#OTU ID	GN01P.484257	GN06P.o.484262	GN02P.484248	GN04P.484258	GN05P.o.484260	GN07P.o.484246	GN04P.o.484251	GN07P.484259	GN02P.o.484250	GN06P.484247	GN09P.484254	GN01P.o.484256	GN03P.o.484249	GN08P.o.484263	GN03P.484253	GN05P.484261	GN09P.o.484264	GN08P.484265
159087	0	0	0	5.415037499	0	5.708243841	5.603449728	4.73557772	0	0	8.326429487	0	0	6.706644868	0	4.312369266	8.606919231	7.834614695
246894	0	10.03930574	5.249332964	8.843397672	10.30134708	9.075376295	8.746754231	8.591018801	4.600258688	9.382984205	6.918863237	0	5.475028474	8.696248097	0	8.633817753	8.122971754	9.315972901
138934	0	4.73557772	0	6.398031074	6.458718649	7.856545239	0	8.007925728	0	4.632822139	9.324180547	0	0	8.91814356	0	5.275597458	9.382984205	8.318234662
137549	0	0	0	0	0	4.73557772	0	0	0	0	0	0	0	0	0	0	0	0
251486	5.795596951	0	5.249332964	5.415037499	0	0	6.588536184	0	0	0	0	7.319492924	0	0	0	0	0	0
5675	0	0	6.230242871	0	0	0	0	0	4.600258688	0	0	0	0	0	5.249332964	0	0	0
577629	0	0	0	0	0	0	0	0	0	0	0	4.076645958	0	0	0	0	0	0
170823	4.26166757	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
141322	5.223562965	0	0	0	0	0	0	0	0	0	0	5.033248182	0	0	0	0	0	0
200652	5.223562965	0	0	0	0	0	0	0	0	0	0	4.076645958	0	0	0	0	0	0
103057	4.26166757	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12343	0	0	0	0	0	0	0	0	0	0	0	4.076645958	0	0	0	0	0	0
564812	0	0	0	0	0	0	0	0	0	0	0	5.033248182	0	0	0	0	0	0
138936	0	5.708243841	0	6.398031074	8.032704588	4.73557772	7.581021198	0	0	4.632822139	0	0	5.475028474	0	5.249332964	5.84809142	5.821596845	0
159166	0	0	0	0	0	0	0	4.73557772	0	0	0	0	0	0	0	0	0	0
391129	0	0	0	0	0	0	0	0	0	0	0	5.033248182	0	0	0	0	0	0
253655	0	0	5.249332964	0	0	0	0	0	4.600258688	0	0	0	6.458718649	0	0	0	0	0
77962	0	0	0	0	0	0	0	0	0	0	0	5.603449728	0	0	0	0	5.821596845	0
114591	0	0	0	0	0	0	0	0	0	0	0	4.076645958	0	0	0	0	0	0
163280	0	0	0	0	0	0	0	0	0	0	0	0	0	5.149046272	0	0	0	0
237153	6.522135663	7.274691739	7.220602255	0	5.475028474	9.437351957	5.603449728	9.929789481	4.600258688	7.581021198	10.84627391	6.011049726	0	11.31782192	0	4.312369266	10.79667057	12.09164575
218959	0	0	0	0	0	0	0	0	4.600258688	0	0	0	0	0	0	0	0	0
243734	0	0	8.023805681	0	0	0	0	0	0	0	0	0	0	0	5.249332964	5.275597458	0	0
548460	0	0	0	0	0	0	5.603449728	0	0	0	0	0	0	0	5.249332964	0	0	0
152417	5.223562965	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
541987	0	0	0	0	0	0	0	0	0	0	0	4.076645958	0	0	0	0	0	0
540867	0	0	0	0	0	4.73557772	0	4.73557772	0	0	0	0	0	0	0	0	0	0
152001	4.26166757	0	0	0	0	0	0	0	0	0	0	5.033248182	0	0	0	0	0	0
350845	4.26166757	0	0	0	0	0	0	0	4.600258688	0	0	4.076645958	5.475028474	0	0	0	5.821596845	0
10867	0	0	5.249332964	0	0	0	0	0	4.600258688	0	0	0	0	0	0	0	0	0
185581	0	0	0	0	0	0	0	0	4.600258688	0	0	0	0	0	0	0	0	0
305760	4.26166757	0	0	0	0	0	0	0	0	0	0	5.033248182	0	0	0	0	0	0
169426	0	0	0	0	0	0	0	0	0	0	5.357552005	0	0	0	0	0	0	0
258050	0	0	0	0	0	0	0	0	0	0	0	4.076645958	0	0	0	0	0	0
152603	4.26166757	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
331011	0	0	0	0	0	0	0	4.73557772	0	0	0	0	0	5.149046272	0	0	0	0
585449	5.795596951	0	5.249332964	0	0	0	0	0	0	0	0	5.033248182	0	0	0	0	0	0
255565	7.003070654	8.270025723	0	10.55170826	8.615829514	7.013519522	10.32947602	6.283978741	4.600258688	9.330596813	5.357552005	5.603449728	7.450494067	0	6.230242871	8.329817489	0	0
539886	0	0	0	0	0	0	0	4.73557772	0	0	0	0	0	0	0	0	0	5.537747862
332808	0	0	0	0	0	0	0	0	4.600258688	0	0	6.011049726	0	0	0	0	0	0
14638	0	0	0	0	0	0	0	0	0	0	0	4.076645958	0	0	0	0	0	0
