Subject	Scaling factor	Quantile value	Number of identified features	Library size
M22Aptr.140827	51.9999999999992	2	63	1000
M22Ewxl.140750	74.9999999999992	2	85	1000
M22Ewxr.140787	32.9999999999992	1	58	1000
M22Fcsp.140527	68.9999999999992	2	100	1000
M22Fcsw.140276	105.999999999999	2	133	1000
M22Fotl.140555	145.999999999999	1	228	1000
M22Fotr.140381	157.999999999999	1	252	1000
M22Frhd.140287	56.9999999999992	1.12844036697248	115	1000
M22Hair.140456	84.9999999999992	1	149	1000
M22Indl.140813	149.999999999999	2	184	1000
M22Indr.140471	72.9999999999992	1	143	1000
M22Mout.140541	58.9999999999992	3	70	1000
M22Nose.140594	79.9999999999992	1	146	1000
M22Nstl.140860	133.999999999999	2	185	1000
M22Pinl.140526	41.9999999999992	1	78	1000
M22Pinr.140692	33.9999999999992	1	63	1000
M22Plml.140625	145.999999999999	2	180	1000
M22Tong.140364	39.9999999999992	6.35779816513762	43	1000
M22Urin.140805	22.9999999999992	1	40	1000
M41Aptl.140841	23.9999999999992	4.80122324159021	27	1000
M41Aptr.140772	27.9999999999992	2	42	1000
M41Ewxl.140482	8.99999999999919	10.0183486238532	8	1000
M41Ewxr.140794	12.9999999999992	1	21	1000
M41Fcsp.140643	67.9999999999992	2	79	1000
M41Fcsw.140359	121.999999999999	2	168	1000
M41Fotl.140801	10.9999999999992	2.86238532110092	19	1000
M41Fotr.140652	15.9999999999992	2	23	1000
M41Frhd.140449	26.9999999999992	1	48	1000
M41Knel.140855	142.999999999999	2	174	1000
M41Kner.140735	107.999999999999	2	134	1000
M41Navl.140280	30.9999999999992	2	41	1000
M41Nose.140779	21.9999999999992	1	40	1000
M41Nstl.140739	33.9999999999992	3	44	1000
M41Pinl.140284	32.9999999999992	1	51	1000
M41Pinr.140509	37.9999999999992	2	45	1000
M41Plml.140691	66.9999999999992	1	113	1000
M41Plmr.140782	80.9999999999992	1	132	1000
M41Tong.140317	48.9999999999992	2	69	1000
M41Urin.140696	46.9999999999992	2	66	1000
M42Aptl.140537	36.9999999999992	3	49	1000
M42Aptr.140377	28.9999999999992	2	38	1000
M42Ewxl.140553	11.9999999999992	1	23	1000
M42Ewxr.140604	13.9999999999992	1	21	1000
M42Fcsw.140447	103.999999999999	2	130	1000
M42Forl.140600	75.9999999999992	1	152	1000
M42Fotl.140742	27.9999999999992	1	41	1000
M42Frhd.140770	38.9999999999992	1	78	1000
M42Glns.140719	63.9999999999992	2	101	1000
M42Hair.140700	57.9999999999992	2	75	1000
M42Indl.140869	71.9999999999992	1	144	1000
M42Indr.140519	75.9999999999992	1	131	1000
M42Knel.140699	127.999999999999	2	136	1000
M42Mout.140653	55.9999999999992	2	92	1000
M42Pinl.140354	53.9999999999992	2	74	1000
M42Pinr.140457	14.9999999999992	1	29	1000
M42Plml.140513	94.9999999999992	1	154	1000
M42Plmr.140511	88.9999999999992	1	166	1000
M42Tong.140857	47.9999999999992	3	46	1000
M42Urin.140778	43.9999999999992	2	44	1000
F11Pinr.140867	55.9999999999992	2	68	1000
F13Ewax.140760	3.99999999999919	6.80428134556575	8	1000
F13Fcsw.140387	90.9999999999992	1	179	1000
F13Fotr.140798	20.9999999999992	1	37	1000
F13Knee.140670	91.9999999999992	1	142	1000
F13Nost.140811	14.9999999999992	2	21	1000
F13Plml.140601	83.9999999999992	1	134	1000
F13Tong.140677	43.9999999999992	4	51	1000
F13Urin.140615	20.9999999999992	3	26	1000
F14Ewax.140371	5.99999999999919	1.41590214067278	12	1000
F14Fcsw.140752	103.999999999999	2	145	1000
F14Fotr.140665	35.9999999999992	1	61	1000
F14Frhd.140741	37.9999999999992	1	57	1000
F14Plmr.140786	120.999999999999	1	176	1000
F14Tong.140430	26.9999999999992	2.17125382262997	44	1000
F14Urin.140297	11.9999999999992	2.37003058103975	18	1000
F21Nstr.140791	17.9999999999992	1	32	1000
F23Ewax.140304	10.9999999999992	12.1437308868502	8	1000
F23Fcsw.140551	75.9999999999992	2	107	1000
F23Fotl.140863	8.99999999999919	2	13	1000
F23Fotr.140680	6.99999999999919	3.84709480122324	11	1000
F23Frhd.140622	10.9999999999992	1	13	1000
F23Knee.140816	90.9999999999992	1	158	1000
F23Nost.140510	36.9999999999992	1	65	1000
F23Plml.140585	82.9999999999992	1	149	1000
F23Plmr.140435	72.9999999999992	1	142	1000
F23Tong.140417	38.9999999999992	4.64831804281346	47	1000
F23Uric.140274	8.99999999999919	1	14	1000
F23Urin.140495	3.99999999999919	3.96941896024465	5	1000
F24Ewax.140807	7.99999999999919	1.38532110091743	16	1000
F24Fcsw.140765	53.9999999999992	1	108	1000
F24Fotl.140630	9.99999999999919	1	17	1000
F24Fotr.140273	11.9999999999992	1	20	1000
F24Frhd.140858	9.99999999999919	1	18	1000
F24Nost.140792	51.9999999999992	1	83	1000
F24Tong.140829	36.9999999999992	3.60244648318043	53	1000
F24Uric.140658	5.99999999999919	2.92354740061162	11	1000
F24Urin.140403	4.99999999999919	1	8	1000
F33Fcsw.140662	65.9999999999992	1	122	1000
F33Tong.140358	37.9999999999992	5.72477064220184	37	1000
F33Uric.140793	9.99999999999919	4	7	1000
F33Urin.140518	45.9999999999992	493.058103975535	2	1000
F34Fcsw.140733	74.9999999999992	1	148	1000
F34Fotl.140856	209.999999999999	1	327	1000
F34Frhd.140568	32.9999999999992	1	58	1000
F34Nost.140282	33.9999999999992	2	42	1000
F34Tong.140848	33.9999999999992	3	36	1000
F34Uric.140423	5.99999999999919	1	8	1000
F34Urin.140432	4.99999999999919	1	8	1000
M13Ewax.140391	4.99999999999919	82.1467889908257	7	1000
M13Fcsw.140390	103.999999999999	2	147	1000
M13Frhd.140349	21.9999999999992	1	42	1000
M13Nost.140290	21.9999999999992	2	30	1000
M13Tong.140491	45.9999999999992	6.37308868501529	42	1000
M14Ewax.140489	24.9999999999992	43.3180428134557	6	1000
M14Fcsw.140443	109.999999999999	2	149	1000
M14Fotl.140639	37.9999999999992	1	58	1000
M14Fotr.140729	49.9999999999992	1	79	1000
M14Knee.140681	93.9999999999992	2	116	1000
M14Nost.140445	19.9999999999992	3.75535168195719	33	1000
M14Plml.140544	56.9999999999992	1	108	1000
M14Tong.140420	29.9999999999992	2	53	1000
M14Urin.140599	28.9999999999992	1	55	1000
M23Ewax.140338	17.9999999999992	1.72477064220184	37	1000
M23Fcsw.140821	83.9999999999992	1.20795107033639	170	1000
M23Fotr.140344	83.9999999999992	1	120	1000
M23Frhd.140404	22.9999999999992	1	44	1000
M23Knee.140621	85.9999999999992	1	145	1000
M23Nost.140669	55.9999999999992	2	68	1000
M23Plml.140503	53.9999999999992	1	101	1000
M23Tong.140462	28.9999999999992	3	43	1000
M23Uric.140523	47.9999999999992	2	59	1000
M24Ewax.140460	13.9999999999992	2	18	1000
M24Fcsw.140647	82.9999999999992	1	163	1000
M24Frhd.140442	57.9999999999992	2	58	1000
M24Knee.140796	101.999999999999	1	169	1000
M24Nost.140862	36.9999999999992	1	72	1000
M24Urin.140388	31.9999999999992	2	35	1000
M33Ewax.140613	11.9999999999992	1	20	1000
M33Fcsw.140557	103.999999999999	2	141	1000
M33Tong.140346	36.9999999999992	3.20183486238532	40	1000
M34Ewax.140864	7.99999999999919	1	15	1000
M34Frhd.140638	21.9999999999992	1	36	1000
M34Nost.140408	33.9999999999992	1	61	1000
M34Plml.140373	99.9999999999992	1	167	1000
M34Tong.140540	36.9999999999992	3.66360856269113	45	1000
M43Ewax.140650	5.99999999999919	16.7339449541284	8	1000
M43Fcsw.140714	128.999999999999	2	154	1000
M43Fotl.140659	72.9999999999992	1	103	1000
M43Fotr.140475	53.9999999999992	1	88	1000
M43Frhd.140486	36.9999999999992	1	66	1000
M43Nost.140345	42.9999999999992	2	62	1000
M43Plml.140405	110.999999999999	1	193	1000
M43Plmr.140716	103.999999999999	1	185	1000
M43Tong.140396	73.9999999999992	6	48	1000
M44Ewax.140411	22.9999999999992	2	30	1000
M44Fcsw.140418	135.999999999999	2	162	1000
M44Fotl.140595	25.9999999999992	1	44	1000
M44Frhd.140730	42.9999999999992	1	69	1000
M44Knee.140736	114.999999999999	1	207	1000
M44Nost.140343	32.9999999999992	3	44	1000
M44Plml.140614	93.9999999999992	1	169	1000
M44Plmr.140868	103.999999999999	1	159	1000
M44Tong.140642	40.9999999999992	3	58	1000
M44Uric.140688	26.9999999999992	1.09480122324159	54	1000
M44Urin.140414	14.9999999999992	3	18	1000
M53Ewax.140448	7.99999999999919	2.83180428134557	12	1000
M53Fcsw.140426	52.9999999999992	1	106	1000
M53Frhd.140768	16.9999999999992	1	27	1000
M53Knee.140318	108.999999999999	1	207	1000
M53Nost.140611	13.9999999999992	1.29357798165138	28	1000
M53Plml.140660	59.9999999999992	1	92	1000
M53Tong.140327	43.9999999999992	3	54	1000
M53Uric.140515	99.9999999999992	4	84	1000
M53Urin.140277	102.999999999999	5	77	1000
M54Fcsw.140330	62.9999999999992	1	117	1000
M54Fotr.140667	134.999999999999	1	233	1000
M54Frhd.140695	25.9999999999992	1	35	1000
M54Knee.140481	178.999999999999	2	186	1000
M54Nost.140835	19.9999999999992	1	36	1000
M54Plml.140636	90.9999999999992	1	147	1000
M54Plmr.140626	74.9999999999992	1	140	1000
M54Tong.140619	53.9999999999992	3	60	1000
M54Uric.140775	74.9999999999992	3	96	1000
M54Urin.140480	105.999999999999	2	139	1000
M63Ewax.140384	9.99999999999919	2.38532110091743	16	1000
M63Fcsw.140818	97.9999999999992	2	129	1000
M63Frhd.140286	12.9999999999992	1.80122324159021	27	1000
M63Nost.140870	33.9999999999992	2	51	1000
M63Plml.140689	66.9999999999992	1	130	1000
M63Plmr.140815	70.9999999999992	1	139	1000
M63Tong.140865	50.9999999999992	5.64831804281346	47	1000
M63Urin.140645	19.9999999999992	1	29	1000
M64Ewax.140550	17.9999999999992	4.87767584097859	17	1000
M64Fcsw.140360	77.9999999999992	2	105	1000
M64Fotl.140777	184.999999999999	1	279	1000
M64Fotr.140624	98.9999999999992	1	144	1000
M64Frhd.140834	8.99999999999919	1.37003058103975	18	1000
M64Knee.140570	114.999999999999	1	189	1000
M64Nost.140402	28.9999999999992	2	40	1000
M64Plml.140628	102.999999999999	1	158	1000
M64Plmr.140356	99.9999999999992	1	153	1000
M64Tong.140427	28.9999999999992	2.66360856269113	45	1000
